Wallet,Referral YUZU,Creation YUZU,Completion YUZU,Total YUZU,
0x80d6acbc3b928a69eace83c0d5714e03e5b55ef7,0,"1,857","2,464","4,321",
0xb8fca946c5c7686b9ea72bad2c27be5fbc9cece2,0,"1,979","2,307","4,286",
0x4c4eab7bfa0582ea502108f03a546863d5791907,0,"1,857","2,399","4,256",
0x575ed1b07cd061fa6f9c5e9b51e144e607eae330,0,"1,979","2,214","4,193",
0x9dfc2876d4091340f5cb07f1fc660008a90a19b8,0,"1,857","2,321","4,178",
0xf4875f99a34c02e54e7ce0fa4611ef238855dac3,0,0,"4,172","4,172",
0xb4c28fc59054563e76aef670bb28d7d0ccfac0bb,0,"1,857","2,227","4,084",
0xb8f6484da877ce8268453d26d4b649b7c7946206,0,"1,979","2,076","4,055",
0x0e46584df73f1eee7b2260519466cb75c3bf7b74,0,"1,464","2,591","4,055",
0x024c2e11d40f6cf457927bd5fb7eba890464e885,0,"1,857","2,145","4,002",
0xc9237971844b054da32241f3e9b4ed785f7c8ccb,0,"1,857","2,118","3,975",
0x2d334256bb88d2488bfb582ac757b109edbb66bc,0,"1,857","1,934","3,791",
0x57f17090857c6ea19d4bfe28b1aa0e85d045be3f,0,"1,321","2,464","3,785",
0x4aa4a02708b5a191cd9f42d6c3a99385b180610c,"2,993",0,691,"3,684",
0x859703cf422f8252a2bbd1fe2a2754494b055faf,0,"1,464","2,076","3,540",
0x31eb0f1acc33b70dfad5e483dc09caf5f80d354d,"2,993",0,388,"3,381",
0x549205bf7887b07967fbc4b4e731ba43b0c25838,0,"1,857","1,503","3,360",
0x280d9073b1f896411afeae2791f4354ff07bd951,"2,993",0,320,"3,313",
0x94e8947daa6cb102ffc2fc51eadcaa660b6c6537,"2,993",0,244,"3,237",
0x9351d8faf668ac4f69009c2c8a247c3b6055ecea,0,0,"2,895","2,895",
0x939e38f9d88a535b7851582672212c7bfff63742,0,"1,857",564,"2,421",
0x347de8af8df7574700ecb4ce4b788ce1ebc92f31,0,0,"2,294","2,294",
0x3586543c31f1c77ee3140fd8bd2184caabb660a3,0,0,"2,241","2,241",
0x8a823fab871627ad6a50d813ee51a7e2382fd9df,0,0,"2,200","2,200",
0x7d09385a0e6390c89669f463d679f0cd6e1daaed,0,832,"1,352","2,184",
0xc3a9cd5aa738694d73411a35f5c31ddf70ee5c27,0,"1,979",202,"2,181",
0xa152f0a489e520b81ca719df139782266effdae0,0,"1,857",320,"2,177",
0xb453a9053037f4d1bffacb3625f5611e0b5c8b57,0,"1,170",895,"2,065",
0x31567e836ee3d66d4c4558b14de1ddebb8f9c0d8,0,0,"1,875","1,875",
0x06526166b806b792b77ad1d0af43f391138c3639,0,0,"1,861","1,861",
0x03f071a2ccc49fbdbf8c19d0c5d4ab76c68cac8b,0,0,"1,801","1,801",
0x063e90351a540aaf9844d7d6c2e51270d3dde3f8,0,832,829,"1,661",
0x2689d114d64f7a4a4373a46fdd2262f92fdfcbd4,0,635,807,"1,442",
0x24ee25b3dcba2e32a6b4390ffc5abdb2cc08133e,0,0,"1,420","1,420",
0xeeb2ffa13f4ef4381647fe642ebfad0cc1bbc467,0,0,"1,352","1,352",
0x7e524143514d6bd6f2647ec7ed6ea64ee3d2a192,0,0,"1,334","1,334",
0x66897d551248fe50bea7614e389cb7366b2f9087,0,0,"1,334","1,334",
0x6999615aa38a629d5efafbc2e793642078fa327f,0,0,"1,245","1,245",
0x6ff95a921dc85cd956ab25601c4a84562969f093,0,0,"1,227","1,227",
0x346d868d264e09f7ff198cbbc8a3c9c502e1e79e,0,0,"1,191","1,191",
0x8a611efc57782474310846cdfbd249aa1ea702a4,0,0,"1,191","1,191",
0xcbb7e0b06465d576c054063ceeb5d56296208c7f,0,0,"1,172","1,172",
0x11aab607ca58b1818c947936073dba3163684034,0,0,"1,154","1,154",
0x5396115cfeed93ac7254e1ae503f5511c4f46944,0,0,"1,116","1,116",
0x9cf3da2f84fc1702ba7c6908c3b86972cc12d8d2,0,400,715,"1,115",
0x8d7ad5e31a462eee57a2c4612069dc544bc3e64a,0,0,"1,097","1,097",
0x2665d9679161c5c481ca4e0b191f9ef8c17b31df,0,0,"1,077","1,077",
0x8eb73464c7c1e77776716d8baf2e1f6c131015f2,0,0,"1,077","1,077",
0x7c84af1c0629c4bbe80715fef68c941fc9ecd932,0,0,"1,077","1,077",
0x6a8cb6054741650f0ddb0dec8113785a3466fc61,0,400,666,"1,066",
0x658ad58592cfe8faaf7d3f7b4aa795edf880aedc,0,0,"1,058","1,058",
0x4bc16da23ed279648b70729357f802248d987c5b,0,0,"1,058","1,058",
0x8f9f80418b0ce1fd9fabffde569bebcac2578300,0,0,"1,058","1,058",
0x9bbc58095a155287ec992bcc6bee962dc5c317e4,0,400,641,"1,041",
0x1f92da154a20ce907ebb926ab1262bb2d0565398,0,0,"1,038","1,038",
0x5d5a21039d842e6ef7c6d9242737d7b501787b82,0,0,"1,018","1,018",
0xf8df97a57a313ed129497449a4f0a20080476ea3,0,0,"1,018","1,018",
0xe17955765ecb8a90d90531e3940d97035e513d17,0,0,"1,018","1,018",
0xad4731fbbdb36ed43905bb0cbc567e2aabc6ac5a,0,0,998,998,
0x4477dd24e1a7c35f47bbff78d15b06f00da1b45c,0,0,978,978,
0xbe127c036e6c8384535fe0f8dd127518cd8b6761,0,0,978,978,
0xca5e4a10ae5d5063c0f597fee189d2ac408e136f,0,0,957,957,
0x71c67951a4a3052cc31dd74fe88f45daa4b29c1a,0,0,957,957,
0x1ec28e1a887aa54928febc1484023dd8b790378a,0,0,957,957,
0x13699bb50f8c3f9681d12e3f825d110f3f2f81a3,0,0,937,937,
0x95f765ab07fa1ef61bbd55e868e84540d0423077,0,0,937,937,
0x2bc4e63caa6422aa45f31863b788d5fa84229978,0,0,937,937,
0x995c1fee29da0f32c8fa5662b0d352e18dec048d,0,400,536,936,
0x530b0ff049032500221602e38bbf8cfce5031383,0,0,916,916,
0xf6f88633296a17cabcd3bebaf4359596ff8b1302,0,0,916,916,
0x3e219e66d80128bf11ea9a2bca10350ff85258f8,0,0,895,895,
0xb96d7701b4b786389e709cc63536dfe82efc0a4b,0,0,895,895,
0x294063a9aaacd825562ddd10cb9f19a011cc5ef7,0,0,895,895,
0xf9884295067d4ed5ab8ff6df82d8a2fac434235d,0,0,873,873,
0xfac8d678f72e8439c513c425a6644ca60d6d0195,0,0,873,873,
0x367c01aa1751fb0620f11c5c2e6d7ef3b76573f5,0,0,851,851,
0xd2ec9380728f85383b7af3a731f181607bd2d6ab,0,0,851,851,
0xef3b5aa5419e22ec3a045b850f1f3953a82f0348,0,0,829,829,
0xfb7c807c2246a2d5d7986879a0b5933b63d05160,0,0,829,829,
0xa05f6676f4161cfa7d894ff5f66ddb057a9f0b3c,0,0,829,829,
0xf4206906475c58c807e0ecbfe24a370873557a64,0,0,829,829,
0xa38194b75d007e86ed68019766850f3e69f5ad03,0,0,829,829,
0x6dabaedd4d1e733e159a4b1a56c51c1225268e6f,0,0,829,829,
0xc67e53bcb678f947459bb4f6eebc88633b1f73bf,0,0,829,829,
0xc1ba0c3c62c24725ea4e5fbd0dd935cd2813ba91,0,0,829,829,
0xdaa0a4a2b0669db84ec94b06745e416ac19f729b,0,0,807,807,
0xd1d685cb75edb5ad89e7dce384a1707adc23dfee,0,0,807,807,
0x72110d347740e1e3a1bd3efb513d41bef7dcff24,0,0,807,807,
0xb8c22526abba000a0174b25fe57968b56aee3293,0,0,807,807,
0x892e0765df4c85c7e727a31b00f256a56a38fea5,0,0,785,785,
0x1dbb93504d8273e070e4353a2ec78ed6110ec61a,0,0,785,785,
0xa42e47f974d17280db02b1259fdc775aadb10768,0,0,785,785,
0x9fe87bdd7d6c71bb4f02bc0e2321c118f59ba8af,0,0,785,785,
