Wallet,Referral YUZU,Creation YUZU,Completion YUZU,Total YUZU,
0x305ae614d00ac684bcef3994aa70d0fb009f5622,0,0,202,202,
0xd7960c485ec9c45263dd0c4bf886241b605476f1,0,0,202,202,
0xd7719d0179d1c3998bb49078a002b600a29b3a51,0,0,154,154,
0x74aceb22beb28509d8268d873dc60df61a7199c5,0,0,154,154,
0x99e86567a949608014e1c43a80570fe6923fb411,0,0,154,154,
0x956900132b5ee2282aa65ce4fa2120ea533dc6c9,0,0,154,154,
0x7d4186f2cd5d1cbb1f876197c665acda2fcde92a,0,0,154,154,
0xcfc6d8656fc550c40def92c83860dab4c257457e,0,0,154,154,
0x66cf7b61aaf16331a4a8cf45f52250d9ac88d30b,0,0,154,154,
0x97f9b57fa216a4d4bf63f3f180ea6ca678f4ea95,0,0,154,154,
0xc08ed255bfa64b7604d2bf057ae9f0e39a20bee1,0,0,154,154,
0x015cbc94e7d9b88455824cf537e9e33bf76cca87,0,0,154,154,
0x078f2807826ecede5455673cde86bcc05a6c9c92,0,0,154,154,
0xd5ab5b35437e579044146ac084fffcd9486e1e3f,0,0,154,154,
0x88750f7f52ee77582893877959a9dca872e65a8c,0,0,154,154,
0xa4976a425f33778c6a5c7b60085438f52333026e,0,0,154,154,
0x35b4ef41b5aefbaef1db8aef58db7bbe76c31be9,0,0,154,154,
0x85d6f1b90767b878b4dcd647b5242e8c7d167a7a,0,0,154,154,
0x4b64f303c1fc73c3a305e6d6ec4cbe81bec2584c,0,0,154,154,
0x70bf9b1e3277a2cebbd3615af0284614296b6668,0,0,154,154,
0x9c8718fb70772a5610e6445017af46c4fb5487cb,0,0,154,154,
0xe408f4f7590c026a5cc27f5c65087f502e458a23,0,0,97,97,
0xaf207bbda21134226e2fd4c4222f85b38387efd3,0,0,97,97,
0x5151033a4565096fa3a399b9f1f5b42a9f5bd131,0,0,97,97,
0xb6adac5103bfcc4f1dafc2082397444885da4cb1,0,0,97,97,
0x15d0d2c441486aaf6981c2edbe2050915e8ecfbd,0,0,97,97,
0x5d7955637cb6faed5f4b7a7f4e9decfb9f9ae1bb,0,0,97,97,
0x58c9a4383bdd6187adce16a56cf6d4db18d17d00,0,0,97,97,
0x0a8e2bcee9950019bf5eb1b96dd1747926f08fc5,0,0,97,97,
0x1df5e8149850e1f627242563045aeb7d5bca8117,0,0,97,97,
0x862b010e35ded78851008cf52df05c41131ad54e,0,0,97,97,
0x1bf8737167b953a9e2b286abfc59cdf5a2cf6579,0,0,97,97,
0xbafde4c19c3d316e7e215742428efcae526cfc38,0,0,97,97,
0xa36e55b7e31af3e209af54c22da01719215beeb0,0,0,97,97,
0x54000aae6531e0b56c8f81b6ab53891eb8cef03f,0,0,97,97,
0x471dbd89c43c595399b4a3b4909511058bbb0905,0,0,97,97,
0x1218dc4264605cef3e20026524f789178b7880c7,0,0,97,97,
0x5ee3bc69b05ce7211d1e0613b4d39362c5c1c34b,0,0,97,97,
0xb1bb6a4be64dffb78a02e3773ba43445b562423f,0,0,97,97,
0xbc3ad7b4b4244b4e63075ac3e9c98e0a13485d70,0,0,97,97,
0x0da5ad69fea5aad0645d46cfa52c526188261cdb,0,0,97,97,
0x9236230762af31a3a967bed758248392a399c47e,0,0,97,97,
0xe5789fcd0e38412aa51e0c7dc60ae21405156068,0,0,97,97,
0x7f7aa4c59a57214e1512999ea3bfde2c571bbd49,0,0,97,97,
0x05ee2d2553e46880197bb62ab1bce38758d4db7c,0,0,97,97,
0xba1c7b28584e4a8beba9c6f197372b35458953a6,0,0,97,97,
0xefba642cf6285be449a0d9abc9303416e2eafcec,0,0,97,97,
0x5b69cda090ea14a5c2cf7141d210c354ea4c74ee,0,0,97,97,
0x27cfe3ce299db1914315832c6e0ec62de91ca041,0,0,97,97,
0x35432336d3fa336bd107085594368b1f348de6bd,0,0,97,97,
0xdba48da61b31c86f5f290c1aa26ae14ee80b1c31,0,0,97,97,
0xeea6d956bc8a6f6b06b9e42bc5ddd6f41e2966e7,0,0,97,97,
0x89f7a4043a02fe5972bc7e025990f569b031e358,0,0,97,97,
0x9d804fcedbf2dd948bbdee3ae143dc75abe5ca81,0,0,97,97,
0xec57506ddb0d2686389fa6ee22c2778abeb9d965,0,0,97,97,
0x8bb9ed99b6da2ce0a82de31f404ab5d4379483d2,0,0,97,97,
0xa83a22ca6733793ac8e6164f854b76695bc29117,0,0,97,97,
0x7cab920b0720bdd12b83eda280bc258c8902ca5d,0,0,97,97,
0xdea9111e3b795a1287ecd85a4b119f119b8cec1f,0,0,97,97,
0xb357976d07244e45e884ab480829d855efd67061,0,0,97,97,
0x12abf29108d6eb80f0bd26495fc13a7d2dc76cb5,0,0,97,97,
0x92bc19daf875222f68f6014b7185812a27050136,0,0,97,97,
0xf0680b180cefbf6a6de6a39476361cedcc9039f1,0,0,97,97,
0x356204221d3c38749660875ac2ed767761fd7733,0,0,97,97,
0x258f71fb764fce99746f9eeaf6fe88ef01dee659,0,0,97,97,
0x45de5bdfa6517a28e9ee77517a7f10459dfe305f,0,0,97,97,
0xb877fd0f757d05c95a5f8001ef910c101bb42197,0,0,97,97,
0xba6ee133b4cd904a311db7869d740cccc6444807,0,0,97,97,
0xf302ffe7f387415753074265f59871de86dda664,0,0,97,97,
0x2756e6ebdbebc3419f355a7c1301d42ae674b4a5,0,0,97,97,
0x61e3cef3bc04e141ea2a03a62cd9293d16c82344,"2,993","1,600",641,"112,671",
,,,,"1,126,735",
